resultado;dato
Álava;240
Álava;548
Álava;1001
Álava;1002
Álava;1003
Álava;1004
Álava;1005
Álava;1006
Álava;1007
Álava;1008
Álava;1009
Álava;1010
Álava;1012
Álava;1012
Álava;1013
Álava;1015
Álava;1110
Álava;1117
Álava;1117
Álava;1118
Álava;1118
Álava;1118
Álava;1120
Álava;1128
Álava;1128
Álava;1128
Álava;1129
Álava;1130
Álava;1138
Álava;1139
Álava;1160
Álava;1165
Álava;1169
Álava;1170
Álava;1171
Álava;1191
Álava;1191
Álava;1192
Álava;1192
Álava;1193
Álava;1193
Álava;1193
Álava;1193
Álava;1194
Álava;1194
Álava;1195
Álava;1195
Álava;1196
Álava;1196
Álava;1200
Álava;1206
Álava;1206
Álava;1207
Álava;1207
Álava;1207
Álava;1208
Álava;1208
Álava;1208
Álava;1208
Álava;1211
Álava;1211
Álava;1211
Álava;1211
Álava;1211
Álava;1212
Álava;1212
Álava;1212
Álava;1212
Álava;1213
Álava;1213
Álava;1213
Álava;1216
Álava;1216
Álava;1220
Álava;1220
Álava;1220
Álava;1220
Álava;1230
Álava;1250
Álava;1260
Álava;1300
Álava;1306
Álava;1307
Álava;1307
Álava;1307
Álava;1308
Álava;1308
Álava;1308
Álava;1309
Álava;1309
Álava;1309
Álava;1309
Álava;1320
Álava;1321
Álava;1322
Álava;1322
Álava;1322
Álava;1330
Álava;1340
Álava;1400
Álava;1408
Álava;1409
Álava;1420
Álava;1423
Álava;1423
Álava;1423
Álava;1423
Álava;1426
Álava;1426
Álava;1426
Álava;1427
Álava;1427
Álava;1427
Álava;1428
Álava;1428
Álava;1428
Álava;1430
Álava;1439
Álava;1440
Álava;1449
Álava;1450
Álava;1450
Álava;1450
Álava;1468
Álava;1470
Álava;1470
Álava;1474
Álava;1476
Álava;1477
Álava;1478
Álava;1478
Álava;1479
Álava;1510
Álava;1510
Álava;1510
Álava;1520
Álava;1520
Albacete;2001
Albacete;2002
Albacete;2003
Albacete;2004
Albacete;2005
Albacete;2006
Albacete;2008
Albacete;2049
Albacete;2071
Albacete;2099
Albacete;2099
Albacete;2100
Albacete;2100
Albacete;2110
Albacete;2110
Albacete;2120
Albacete;2124
Albacete;2124
Albacete;2124
Albacete;2125
Albacete;2126
Albacete;2127
Albacete;2128
Albacete;2128
Albacete;2129
Albacete;2130
Albacete;2136
Albacete;2137
Albacete;2138
Albacete;2138
Albacete;2138
Albacete;2139
Albacete;2139
Albacete;2140
Albacete;2141
Albacete;2142
Albacete;2142
Albacete;2150
Albacete;2151
Albacete;2152
Albacete;2153
Albacete;2154
Albacete;2154
Albacete;2155
Albacete;2156
Albacete;2160
Albacete;2161
Albacete;2162
Albacete;2170
Albacete;2200
Albacete;2210
Albacete;2211
Albacete;2212
Albacete;2213
Albacete;2213
Albacete;2214
Albacete;2214
Albacete;2215
Albacete;2215
Albacete;2220
Albacete;2230
Albacete;2240
Albacete;2246
Albacete;2247
Albacete;2248
Albacete;2249
Albacete;2249
Albacete;2249
Albacete;2250
Albacete;2251
Albacete;2252
Albacete;2253
Albacete;2260
Albacete;2270
Albacete;2300
Albacete;2310
Albacete;2311
Albacete;2312
Albacete;2313
Albacete;2314
Albacete;2314
Albacete;2314
Albacete;2315
Albacete;2316
Albacete;2320
Albacete;2326
Albacete;2327
Albacete;2328
Albacete;2329
Albacete;2330
Albacete;2331
Albacete;2332
Albacete;2340
Albacete;2350
Albacete;2360
Albacete;2400
Albacete;2409
Albacete;2410
Albacete;2420
Albacete;2430
Albacete;2434
Albacete;2435
Albacete;2436
Albacete;2437
Albacete;2438
Albacete;2439
Albacete;2440
Albacete;2448
Albacete;2448
Albacete;2449
Albacete;2449
Albacete;2450
Albacete;2459
Albacete;2459
Albacete;2460
Albacete;2461
Albacete;2462
Albacete;2462
Albacete;2470
Albacete;2480
Albacete;2482
Albacete;2484
Albacete;2485
Albacete;2486
Albacete;2487
Albacete;2488
Albacete;2489
Albacete;2490
Albacete;2498
Albacete;2499
Albacete;2500
Albacete;2510
Albacete;2510
Albacete;2511
Albacete;2512
Albacete;2513
Albacete;2514
Albacete;2520
Albacete;2529
Albacete;2530
Albacete;2534
Albacete;2535
Albacete;2536
Albacete;2537
Albacete;2538
Albacete;2539
Albacete;2600
Albacete;2610
Albacete;2611
Albacete;2612
Albacete;2612
Albacete;2613
Albacete;2614
Albacete;2620
Albacete;2630
Albacete;2636
Albacete;2636
Albacete;2637
Albacete;2638
Albacete;2639
Albacete;2639
Albacete;2640
Albacete;2650
Albacete;2651
Albacete;2652
Albacete;2653
Albacete;2660
Albacete;2690
Albacete;2690
Albacete;2691
Albacete;2692
Albacete;2692
Albacete;2693
Albacete;2694
Albacete;2695
Albacete;2696
Albacete;2999
Alicante;3001
Alicante;3002
Alicante;3003
Alicante;3004
Alicante;3005
Alicante;3006
Alicante;3007
Alicante;3008
Alicante;3009
Alicante;3010
Alicante;3010
Alicante;3011
Alicante;3012
Alicante;3013
Alicante;3014
Alicante;3015
Alicante;3016
Alicante;3100
Alicante;3108
Alicante;3109
Alicante;3110
Alicante;3111
Alicante;3112
Alicante;3113
Alicante;3114
Alicante;3115
Alicante;3130
Alicante;3138
Alicante;3139
Alicante;3140
Alicante;3150
Alicante;3158
Alicante;3158
Alicante;3159
